traIndex,GPS_ID,labels
0,7,43
1,8,16
2,9,11
3,10,55
4,92,28
5,93,53
6,94,8
7,95,16
8,121,11
9,122,12
10,165,8
11,166,21
12,167,10
13,168,11
14,169,35
15,197,44
16,198,7
17,224,2
18,275,10
19,276,10
20,277,52
21,278,58
22,315,9
23,316,24
24,317,56
25,318,24
26,358,21
27,384,64
28,385,2
29,427,6
30,428,24
31,429,24
32,464,49
33,465,9
34,487,59
35,488,34
36,489,34
37,490,0
38,511,41
39,512,7
40,547,9
41,548,11
42,577,71
43,578,56
44,579,2
45,602,48
46,636,22
47,637,66
48,638,20
49,674,0
50,675,59
51,738,67
52,771,37
53,773,45
54,774,28
55,775,9
56,831,33
57,832,0
58,833,41
59,834,42
60,854,52
61,855,56
62,856,63
63,895,4
64,896,15
65,897,7
66,946,8
67,947,8
68,948,8
69,977,25
70,978,6
71,979,6
72,1008,22
73,1038,9
74,1069,2
75,1107,9
76,1108,56
77,1109,47
78,1144,63
79,1145,35
80,1213,19
81,1223,21
82,1239,11
83,1240,9
84,1241,11
85,1274,41
86,1275,58
87,1276,56
88,1309,16
89,1310,42
90,1350,2
91,1351,10
92,1387,16
93,1388,69
94,1389,9
95,1419,48
96,1420,9
97,1454,45
98,1455,35
99,1480,9
100,1497,56
101,1498,5
102,1542,42
103,1543,16
104,1544,70
105,1594,70
106,1642,32
107,1643,18
108,1644,16
109,1645,42
110,1691,19
111,1692,7
112,1693,7
113,1694,48
114,1724,9
115,1725,54
116,1726,9
117,1748,55
118,1749,4
119,1750,47
120,1777,11
121,1778,24
122,1779,61
123,1816,45
124,1817,51
125,1818,9
126,1855,0
127,1880,70
128,1881,0
129,1903,57
130,1904,9
131,1936,46
132,1937,22
133,1938,22
134,1939,68
135,1970,43
136,1971,9
137,1991,66
138,1992,69
139,2026,11
140,2027,37
141,2052,17
142,2053,11
143,2086,10
144,2087,42
145,2088,2
146,2147,49
147,2148,4
148,2149,6
149,2174,9
150,2215,22
151,2285,11
152,2286,70
153,2287,0
154,2288,11
155,2321,14
156,2322,42
157,2323,52
158,2324,10
159,2369,13
160,2370,11
161,2371,18
162,2372,9
163,2434,11
164,2435,56
165,2436,58
166,2437,5
167,2487,9
168,2488,9
169,2530,24
170,2531,10
171,2532,23
172,2533,57
173,2569,0
174,2570,52
175,2571,70
176,2628,46
177,2629,15
178,2663,5
179,2664,10
180,2665,46
181,2693,70
182,2694,9
183,2721,68
184,2722,22
185,2723,6
186,2724,51
187,2749,7
188,2796,63
189,2797,41
190,2827,43
191,2828,11
192,2829,42
193,2864,42
194,2865,6
195,2866,9
196,2901,10
197,2902,16
198,2935,32
199,2936,65
200,2937,66
201,2938,10
202,2982,10
203,2983,52
204,2984,24
205,2985,24
206,3021,55
207,3022,21
208,3023,5
209,3024,54
210,3060,23
211,3061,11
212,3099,52
213,3100,48
214,3101,64
215,3102,1
216,3103,26
217,3104,17
218,3105,23
219,3153,58
220,3154,62
221,3155,23
222,3199,26
223,3200,13
224,3225,10
225,3226,9
226,3227,23
